,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
15,0,0,1,0,0,1,0,1,1,2,2,1,2,0,2,1,0,2,2,0,2,2,2,0,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,2,2,2,0,0,2,0,0,0,1,1,0,0,0,2,1,1,0,0,2,0,0,2,0,1,0,0,0,1,1,0,2,0,2,0,1,0,2,1,2,2,0,0,0,1,1,2,2,0,2,2,2,2,2,2,1,2,1,2,0,0
16,2,2,2,2,0,0,1,2,1,0,0,1,0,0,0,0,0,2,2,1,2,0,1,1,1,0,2,2,0,1,2,1,0,1,0,1,1,2,1,0,0,2,1,2,1,1,1,0,1,1,1,1,1,2,0,2,2,2,2,2,0,2,1,1,1,0,2,1,1,0,2,1,1,2,1,1,1,2,0,2,1,1,0,1,0,1,0,0,2,1,2,2,1,2,2,0,1,1,1,1
17,1,1,2,2,0,2,1,1,0,2,1,2,2,0,1,0,2,1,1,0,2,0,2,2,0,0,2,1,0,0,2,0,0,2,1,2,2,1,0,2,2,1,2,2,0,2,2,0,0,0,0,2,2,0,2,2,2,2,0,2,0,1,1,2,0,1,2,1,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,0,2,1,0,1,2,1,1,0,1,2,2,2,1,2,2,2
18,1,1,0,2,2,2,1,1,0,1,2,2,1,0,1,0,1,2,0,1,1,1,0,0,1,1,2,0,2,1,0,0,0,0,0,0,0,2,1,0,2,1,0,2,2,1,0,1,0,0,0,2,2,2,0,2,2,0,2,1,0,1,2,0,0,0,1,2,1,2,0,1,0,2,1,2,0,0,2,1,0,2,2,1,2,1,2,0,0,1,0,2,1,1,2,2,1,0,1,1
19,0,2,2,2,0,2,0,2,2,0,2,1,2,0,0,0,0,1,1,2,0,1,0,2,2,1,2,0,1,2,1,2,0,1,1,0,1,1,1,2,0,0,2,1,2,2,0,1,2,1,0,1,0,1,0,0,1,2,1,2,0,0,0,2,1,2,0,1,0,2,2,1,2,2,0,0,1,0,1,2,0,1,1,0,0,2,0,2,0,1,1,0,2,1,0,0,2,1,2,0
20,0,1,2,0,1,1,0,2,1,1,0,2,0,1,2,0,0,2,2,2,1,1,0,1,0,2,2,1,2,1,1,2,0,0,2,2,2,1,1,0,0,0,0,2,0,0,2,2,0,1,1,0,1,0,0,2,2,2,2,2,1,0,2,1,0,0,1,2,0,0,0,2,2,1,2,0,1,2,0,1,0,1,0,0,2,2,1,0,2,2,0,2,1,2,0,0,0,1,0,1
21,2,2,1,0,1,0,2,2,0,2,2,2,0,2,2,0,1,2,1,2,1,1,0,2,2,2,2,2,2,1,1,1,2,0,1,0,0,1,2,1,1,1,0,2,0,0,1,2,0,1,2,1,1,2,2,0,2,1,0,1,1,2,2,0,1,2,1,2,1,2,2,1,2,0,1,1,1,1,0,2,2,0,0,2,0,2,1,2,1,2,1,1,2,1,0,1,1,0,1,0
22,0,2,1,1,1,0,2,0,1,0,0,2,0,2,0,1,2,2,1,2,0,2,0,2,0,1,0,2,1,2,1,1,2,2,2,1,2,2,2,2,1,0,2,2,0,2,1,0,0,1,0,2,1,2,2,0,1,2,0,2,2,2,0,1,0,1,1,1,2,0,0,0,1,1,2,2,2,0,0,2,2,0,1,0,1,2,2,0,0,1,2,2,0,0,2,1,1,1,1,0
23,2,1,2,1,1,0,1,1,0,0,0,0,2,2,1,0,1,2,0,2,0,1,2,1,0,1,1,0,0,0,2,2,0,1,1,0,1,0,0,1,0,1,0,2,0,2,2,1,1,2,0,2,2,1,1,2,1,0,1,2,1,0,1,2,2,2,2,1,2,0,1,1,0,2,2,1,2,0,2,2,0,2,1,0,0,1,1,0,1,0,2,2,0,1,1,0,1,2,1,0
24,0,2,2,1,0,2,2,2,1,1,0,2,1,1,0,2,1,0,0,2,1,2,1,1,0,2,0,1,2,2,2,2,1,2,1,0,2,2,1,1,1,1,1,2,2,0,0,1,1,0,2,1,2,1,1,2,1,2,0,2,0,2,1,2,0,0,0,1,0,2,1,2,2,0,2,0,0,2,0,1,2,1,2,1,2,1,0,2,1,1,1,2,0,1,2,2,1,2,1,0
25,2,1,0,0,1,1,1,1,2,0,0,2,2,2,1,1,2,1,2,1,0,0,2,0,1,2,0,0,1,0,1,2,1,1,2,2,1,2,1,1,2,2,0,0,0,1,2,0,2,2,1,0,2,0,0,0,0,0,0,0,0,2,0,2,2,0,1,0,1,2,0,2,1,2,0,0,0,1,0,2,0,2,0,0,1,0,2,1,1,0,1,1,1,0,1,1,1,2,0,0
26,1,2,2,2,1,0,2,1,1,1,1,2,0,2,2,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,2,1,2,0,2,2,2,2,2,2,2,1,1,2,2,0,0,2,2,2,2,1,1,1,0,0,1,1,1,0,1,0,0,0,2,0,0,0,2,2,2,2,0,1,1,1,1,1,0,0,2,1,2,1,1,0,2,2,2,0,1
27,0,1,0,2,2,1,2,0,1,1,1,1,1,0,2,1,2,2,2,1,1,1,0,0,0,1,0,1,2,0,1,0,1,2,0,1,2,2,0,2,0,2,2,2,1,0,0,1,1,0,0,1,1,0,2,2,0,1,1,0,2,2,0,0,1,2,1,1,1,0,1,2,0,1,2,2,1,1,2,0,2,2,0,1,1,2,0,1,1,2,2,0,1,0,0,2,2,2,0,2
28,2,2,0,0,0,1,1,1,0,0,0,2,0,2,1,0,1,0,1,1,2,1,1,2,1,1,1,0,0,0,1,0,1,1,2,2,2,1,2,1,2,1,1,0,2,1,0,1,0,2,0,0,1,1,2,2,1,2,0,0,0,1,1,1,1,1,2,0,2,1,1,1,0,2,1,2,1,1,1,2,1,0,2,1,1,1,1,1,0,2,1,0,0,0,2,1,2,0,0,0
29,2,2,0,2,0,1,1,0,0,0,0,1,2,2,0,2,2,0,0,0,1,2,2,1,2,2,0,2,1,2,2,0,2,0,2,2,1,0,0,0,0,1,1,2,0,0,2,1,1,0,1,1,2,1,1,2,2,1,2,2,1,0,0,2,0,2,2,2,0,1,1,1,0,1,2,1,2,0,1,1,2,2,2,0,1,0,0,1,1,2,0,0,1,0,2,2,1,1,2,1
30,2,0,2,0,1,0,2,0,2,1,0,1,2,0,0,0,1,2,0,1,2,2,1,2,1,2,2,1,2,0,1,1,2,0,0,0,0,0,1,2,0,2,1,1,1,1,1,1,2,1,0,0,2,0,0,1,2,0,2,2,2,1,2,0,0,1,2,1,2,2,2,1,0,2,1,1,0,0,0,2,0,2,2,1,2,1,0,0,0,0,2,1,2,2,0,1,2,1,2,1
31,1,0,2,0,1,0,0,0,1,1,0,0,2,2,2,1,2,1,1,2,0,0,1,2,2,1,1,1,0,2,2,2,1,2,2,1,2,2,0,1,1,2,1,0,1,1,1,1,0,1,2,2,0,1,1,0,0,0,2,2,1,0,0,1,1,1,0,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,0,2,0,0,1,1,1,2,0,0,2,1,2,0,0,1,0,1
32,0,1,2,0,1,1,1,2,1,2,0,0,0,1,1,1,1,2,2,2,2,1,2,2,0,0,1,2,0,1,0,0,0,1,2,1,2,2,2,1,1,0,2,0,1,1,1,0,2,1,2,0,2,0,0,1,1,1,1,1,1,2,2,2,0,0,1,0,1,0,1,1,0,2,0,2,1,0,0,1,1,1,0,0,2,1,2,2,0,1,0,1,1,0,2,1,0,0,0,2
33,1,0,0,0,2,1,2,2,0,0,2,0,1,0,2,1,0,1,0,2,2,2,1,2,1,1,2,0,1,2,2,1,2,0,0,0,2,2,1,1,0,1,2,0,1,0,2,2,0,1,1,0,0,0,1,0,2,1,0,1,2,1,2,0,0,1,2,1,0,1,2,2,0,1,1,2,1,0,1,1,2,0,0,0,1,2,0,1,2,0,2,2,2,1,1,0,0,1,2,0
34,0,1,0,1,2,0,0,2,2,1,2,2,1,0,0,1,1,2,0,2,2,2,1,2,0,2,2,1,2,1,2,2,1,2,1,0,0,2,1,2,2,1,1,1,0,0,1,1,2,0,1,0,2,0,0,2,2,0,2,0,2,0,1,1,1,0,2,0,2,0,0,1,1,1,1,1,2,2,1,2,2,2,2,1,0,2,2,1,0,1,2,0,0,0,1,2,1,1,1,1
35,0,2,2,0,0,0,1,0,0,2,1,1,2,2,2,1,0,0,2,1,1,0,1,2,2,1,0,0,0,2,2,2,0,2,2,1,0,0,2,2,0,1,2,0,2,1,0,2,1,1,0,1,2,1,2,0,1,0,2,1,1,1,1,2,0,0,0,2,1,2,0,1,1,1,2,2,2,0,2,0,0,2,1,0,1,0,1,0,2,2,2,0,2,0,0,0,0,2,2,1
36,0,2,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,2,0,1,0,2,1,1,1,0,0,2,1,0,1,1,1,1,0,1,0,2,2,1,0,0,0,0,1,1,1,0,0,0,1,0,2,0,1,1,2,0,2,2,2,1,2,0,2,1,0,2,1,1,2,2,1,0,0,0,2,2,1,2,2,2,0,2,2,2,0,1,2,1,0,0
37,1,0,1,1,1,0,0,2,0,1,2,0,1,2,2,2,0,0,2,1,1,0,1,2,1,0,0,1,1,0,0,0,1,2,0,0,1,1,0,2,2,1,1,1,0,1,0,0,0,1,1,2,0,1,0,1,2,1,2,1,2,1,1,0,1,1,2,1,1,0,2,1,1,1,1,2,2,1,1,2,2,2,0,2,1,0,1,1,0,0,1,1,1,2,0,0,0,0,1,0
38,0,1,0,2,0,0,1,0,1,1,0,0,2,2,0,2,0,1,1,0,2,1,1,0,0,2,1,1,1,0,0,2,2,0,2,2,1,0,2,2,1,0,2,0,2,1,1,1,0,1,1,0,1,2,2,1,1,0,1,2,1,2,1,1,1,2,1,2,1,1,0,0,2,2,1,2,1,1,2,1,1,2,2,2,1,0,2,2,1,2,2,0,1,2,0,0,2,1,1,2
39,2,2,2,0,0,0,2,2,2,0,2,0,2,0,0,2,1,2,2,1,1,0,2,0,2,0,2,0,1,1,0,2,2,1,1,0,2,1,2,0,2,1,0,0,0,1,0,2,0,1,0,1,2,0,0,2,0,2,2,0,1,1,0,1,0,2,0,0,2,0,2,2,2,2,1,0,2,1,2,0,0,2,2,0,0,0,0,2,0,0,1,1,1,2,1,0,1,2,2,1
40,2,0,0,2,1,2,2,2,2,2,2,0,2,2,0,1,1,2,0,0,1,2,1,2,0,1,0,2,0,1,0,1,0,0,2,2,2,1,1,2,0,1,1,0,2,2,1,1,2,0,0,2,2,0,0,2,0,2,1,0,1,2,0,2,2,1,0,1,0,2,2,2,0,0,2,2,2,0,2,1,0,1,0,1,1,2,0,0,2,2,1,0,1,2,0,2,1,0,2,1
41,0,0,1,1,2,1,0,1,2,0,0,2,0,1,0,0,0,1,1,1,0,0,2,2,0,0,2,1,1,1,0,2,1,1,1,2,0,2,0,1,1,1,2,1,2,0,0,2,2,2,0,1,1,1,1,2,0,0,2,0,2,1,0,0,1,2,0,1,1,2,0,2,0,0,1,1,1,0,0,2,1,0,2,2,2,1,1,2,2,0,1,2,0,2,2,2,2,2,1,0
42,2,2,1,2,1,2,1,2,0,0,0,2,1,1,0,2,2,1,0,0,1,1,2,2,1,2,1,0,2,2,0,0,0,1,2,2,1,2,1,0,2,0,0,1,2,1,0,1,0,1,2,2,0,1,1,0,0,2,1,0,2,1,1,1,0,0,2,1,2,1,2,0,0,0,0,2,2,0,1,2,2,0,1,0,1,0,2,0,1,1,1,1,1,1,2,2,0,0,0,2
43,2,1,2,0,2,2,0,1,0,0,0,2,1,2,0,2,2,0,1,2,0,1,1,0,1,2,1,1,0,2,1,2,0,0,1,0,2,0,2,1,1,1,0,1,2,1,0,1,0,0,1,0,1,2,1,0,1,2,0,1,0,0,0,2,2,0,2,2,0,2,0,1,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,2,2,0,2,1,0,0,0,0,0,2,2
44,0,1,0,1,1,1,1,0,2,2,0,0,1,2,1,1,2,1,2,2,2,1,2,2,1,0,0,1,1,2,0,2,2,0,2,2,1,1,2,1,0,0,1,2,0,2,2,2,1,2,2,0,0,1,0,0,2,1,2,0,1,1,1,0,1,2,1,0,0,2,1,0,2,2,2,1,2,2,1,1,0,0,2,2,1,0,2,1,1,2,0,2,1,1,1,2,0,2,2,0
45,1,2,2,1,0,1,0,2,2,1,0,0,1,2,1,1,1,0,1,0,2,0,0,2,1,2,2,0,1,1,1,2,2,2,1,0,1,1,0,1,2,1,0,1,0,0,0,1,1,0,2,0,2,1,1,0,2,0,0,1,2,0,0,1,1,0,1,1,1,1,1,1,2,0,2,1,1,2,2,2,1,2,2,1,1,2,0,1,1,0,0,1,1,1,2,1,2,1,2,1
46,0,0,0,1,0,0,2,2,0,1,1,0,2,2,2,2,0,0,2,1,2,0,2,1,1,2,2,1,1,2,0,0,0,2,1,1,0,2,2,0,1,2,2,2,2,2,1,2,0,2,2,0,0,0,1,1,1,2,2,1,1,2,2,2,0,1,1,2,0,1,0,0,1,0,2,2,1,2,0,1,2,1,2,2,0,2,1,1,0,0,0,1,0,0,1,1,0,1,2,1
47,0,2,1,2,2,0,0,1,0,2,0,1,2,1,0,0,2,2,2,0,1,1,2,2,2,1,0,2,1,0,1,1,1,1,1,0,0,2,0,1,0,1,2,2,1,2,1,2,0,1,0,2,1,1,0,0,1,2,0,2,0,0,0,2,0,0,0,0,2,1,0,2,1,0,1,2,2,0,1,2,0,1,2,0,1,1,0,0,0,0,1,2,0,2,0,0,2,0,1,1
48,2,2,2,2,1,0,0,2,2,0,0,0,2,2,2,2,2,0,2,1,2,0,2,2,0,0,1,1,1,2,1,0,0,2,0,1,1,2,0,0,1,1,2,2,0,1,2,1,0,2,0,0,2,2,0,2,0,0,1,2,0,1,1,0,2,2,2,1,0,0,2,1,1,2,2,0,0,2,1,1,1,1,0,1,1,1,1,2,2,2,2,0,1,0,1,2,2,1,0,1
49,1,2,2,0,0,1,0,1,1,1,2,0,0,2,0,0,0,1,0,2,1,2,1,0,1,1,1,1,2,2,2,0,2,1,1,0,2,2,0,0,2,0,2,2,1,0,1,0,0,0,0,1,2,1,0,1,0,2,2,0,2,1,0,0,1,0,0,1,0,0,2,2,0,1,0,1,1,1,1,1,2,1,2,2,1,2,0,0,2,0,0,0,0,0,2,0,1,1,0,0
